syntitem,pointitem,offset
hsi_6_0718_211_002_main__ggpt_2__163,st1_mirrored.47091_47610_0.81stretch,0.005800000000000027
hsi_7_0719_227_003_main__ggpt_2__164,st2_mirrored.1815_2311_0.94stretch,-1.2757999999999998
hsi_3_0715_209_008_main__ggpt_2__166,st1_mirrored.27774_28020_1.03stretch,-1.0791999999999997
hsi_5_0718_227_001_main__ggpt_2__168,st1_mirrored.27461_27769_0.86stretch,-1.1059999999999999
hsi_6_0718_227_001_main__ggpt_2__180,st1_mirrored.27461_27769_0.9stretch,-1.057
hsi_4_0717_227_003_main__ggpt_2__181,st2.2316_2727_1.04stretch,-0.9179999999999999
hsi_4_0717_227_004_main__ggpt_2__183,st2_mirrored.1527_1810_1.0stretch,-0.6539999999999999
hsi_5_0718_227_002_main__ggpt_2__191,st1_mirrored.8949_9448_0.9stretch,-0.4899999999999999
hsi_5_0718_209_002_main__ggpt_2__200,st1.35000_35472_0.89stretch,-0.6692999999999999
hsi_6_0718_209_001_main__ggpt_2__203,st2.3083_3415_1.36stretch,-0.4463999999999999
hsi_4_0717_211_001_main__ggpt_2__205,st1.19997_20370_1.19stretch,-0.4830000000000001
hsi_4_0717_209_003_main__ggpt_2__208,st1.25173_25609_0.91stretch,-0.7570999999999999
hsi_6_0718_211_001_main__ggpt_2__210,st1_mirrored.27774_28020_0.89stretch,-1.1945999999999999
hsi_7_0719_211_002_main__ggpt_2__213,st1.8087_8452_1.0stretch,0.01200000000000001
hsi_6_0718_210_001_main__ggpt_2__215,st1_mirrored.13251_13486_1.26stretch,0.00039999999999995595
hsi_4_0717_211_002_main__ggpt_2__222,st2.7431_7795_0.9stretch,0.0050000000000000044
hsi_4_0717_209_001_main__ggpt_2__228,st1_mirrored.34065_34416_1.24stretch,-1.2149999999999999
hsi_6_0718_222_003_main__ggpt_2__230,st1_mirrored.17235_17589_0.82stretch,-1.4042
hsi_6_0718_210_002_main__ggpt_2__232,st1.19997_20370,0.02300000000000002
hsi_3_0715_210_011_main__ggpt_2__245,st1_mirrored.35000_35472,-0.6030000000000001
